transfer_id,transfer_date,scheduled_date,car_id,from_compound_id,to_compound_id,distance_km,truck_id,cars_per_truck,truck_fill_rate,cost_eur,reason,lead_time_days
TRF_000001,2024-01-01,2023-12-31,CAR_0000155,CPD_BREMEN_01,CPD_HAMBURG_01,123,TRUCK_00002,4,0.5,28.16,repair_routing,1
TRF_000002,2024-01-01,2023-12-31,CAR_0000156,CPD_BREMEN_01,CPD_HAMBURG_01,123,TRUCK_00002,4,0.5,28.16,repair_routing,1
TRF_000003,2024-01-01,2023-12-31,CAR_0000157,CPD_BREMEN_01,CPD_HAMBURG_01,123,TRUCK_00002,4,0.5,28.16,repair_routing,1
TRF_000004,2024-01-01,2023-12-31,CAR_0000158,CPD_BREMEN_01,CPD_HAMBURG_01,123,TRUCK_00002,4,0.5,28.16,repair_routing,1
TRF_000005,2024-01-01,2023-12-30,CAR_0000183,CPD_BERLIN_01,CPD_HAMBURG_01,332,TRUCK_00001,1,0.12,227.6,remarketing_routing,2
TRF_000006,2024-01-02,2023-12-31,CAR_0000236,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00004,2,0.25,150.93,demand_rebalancing,2
TRF_000007,2024-01-02,2023-12-31,CAR_0000237,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00004,2,0.25,150.93,demand_rebalancing,2
TRF_000008,2024-01-02,2024-01-01,CAR_0000332,CPD_FRANKFURT_01,CPD_STUTTGART_01,199,TRUCK_00003,1,0.12,154.45,remarketing_routing,1
TRF_000009,2024-01-03,2024-01-01,CAR_0000485,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00005,7,0.88,43.12,demand_rebalancing,2
TRF_000010,2024-01-03,2024-01-01,CAR_0000486,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00005,7,0.88,43.12,demand_rebalancing,2
TRF_000011,2024-01-03,2024-01-01,CAR_0000487,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00005,7,0.88,43.12,demand_rebalancing,2
TRF_000012,2024-01-03,2024-01-01,CAR_0000488,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00005,7,0.88,43.12,demand_rebalancing,2
TRF_000013,2024-01-03,2024-01-01,CAR_0000489,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00005,7,0.88,43.12,demand_rebalancing,2
TRF_000014,2024-01-03,2024-01-01,CAR_0000490,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00005,7,0.88,43.12,demand_rebalancing,2
TRF_000015,2024-01-03,2024-01-01,CAR_0000491,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00005,7,0.88,43.12,demand_rebalancing,2
TRF_000016,2024-01-04,2024-01-03,CAR_0000834,CPD_NUREMBERG_01,CPD_MUNICH_01,196,TRUCK_00007,1,0.12,152.8,repair_routing,1
TRF_000017,2024-01-04,2024-01-03,CAR_0000877,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00006,3,0.38,23.25,repair_routing,1
TRF_000018,2024-01-04,2024-01-03,CAR_0000878,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00006,3,0.38,23.25,repair_routing,1
TRF_000019,2024-01-04,2024-01-03,CAR_0000879,CPD_DUSSELDORF_01,CPD_COLOGNE_01,45,TRUCK_00006,3,0.38,23.25,repair_routing,1
TRF_000020,2024-01-05,2024-01-03,CAR_0001193,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00008,3,0.38,103.55,demand_rebalancing,2
TRF_000021,2024-01-05,2024-01-03,CAR_0001194,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00008,3,0.38,103.55,demand_rebalancing,2
TRF_000022,2024-01-05,2024-01-03,CAR_0001195,CPD_FRANKFURT_01,CPD_DRESDEN_01,483,TRUCK_00008,3,0.38,103.55,demand_rebalancing,2
TRF_000023,2024-01-05,2024-01-04,CAR_0001222,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00009,4,0.5,28.16,demand_rebalancing,1
TRF_000024,2024-01-05,2024-01-04,CAR_0001223,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00009,4,0.5,28.16,demand_rebalancing,1
TRF_000025,2024-01-05,2024-01-04,CAR_0001224,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00009,4,0.5,28.16,demand_rebalancing,1
TRF_000026,2024-01-05,2024-01-04,CAR_0001225,CPD_HAMBURG_01,CPD_BREMEN_01,123,TRUCK_00009,4,0.5,28.16,demand_rebalancing,1
TRF_000027,2024-01-08,2024-01-06,CAR_0001434,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00012,2,0.25,150.93,demand_rebalancing,2
TRF_000028,2024-01-08,2024-01-06,CAR_0001435,CPD_MUNICH_01,CPD_DRESDEN_01,467,TRUCK_00012,2,0.25,150.93,demand_rebalancing,2
